Composition,Co,Ni,Cr,Fe,Mn,Strength,Ductility,Young_Modulus,PSE
equal,0.2,0.2,0.2,0.2,0.2,4.11,75.23,99.33,309.1953
Co0,0,0.25,0.25,0.25,0.25,2.36,98.28,67.62,231.9408
Co10,0.1,0.225,0.225,0.225,0.225,3.7,80.87,89.13,299.219
Co30,0.3,0.175,0.175,0.175,0.175,4.58,70.42,113.24,322.5236
Ni0,0.25,0,0.25,0.25,0.25,3.12,63.52,70.07,198.1824
Ni10,0.225,0.1,0.225,0.225,0.225,3.94,67.36,97.98,265.3984
Ni30,0.175,0.3,0.175,0.175,0.175,4.33,65.35,113.02,282.9655
Cr0,0.25,0.25,0,0.25,0.25,4.56,80.45,114.55,366.852
Cr10,0.225,0.225,0.1,0.225,0.225,3.94,66.07,107.14,260.3158
Cr30,0.175,0.175,0.3,0.175,0.175,4.25,73.03,96.57,310.3775
Fe0,0.25,0.25,0.25,0,0.25,4.3,63.4,107,272.62
Fe10,0.225,0.225,0.225,0.1,0.225,4.31,77.51,108.53,334.0681
Fe30,0.175,0.175,0.175,0.3,0.175,3.89,77.13,95.84,300.0357
Mn0,0.25,0.25,0.25,0.25,0,5.13,69.4,120.46,356.022
Mn8,0.23,0.23,0.23,0.23,0.08,4.86,77.42,107.76,376.2612
Mn10,0.225,0.225,0.225,0.225,0.1,4.39,72.42,114.52,317.9238
Mn12,0.22,0.22,0.22,0.22,0.12,4.43,75.51,103.49,334.5093
Mn30,0.175,0.175,0.175,0.175,0.3,3.74,71.88,95.73,268.8312
C01,0.29,0.22,0.26,0.18,0.05,9.92,49.209,,488.15328
C03,0.11,0.22,0.27,0.27,0.13,4.571,91.766,,419.462386
C04,0.11,0.22,0.25,0.29,0.13,4.363,70.274,,306.605462
C05,0.19,0.19,0.27,0.29,0.06,6.276,66.297,,416.079972
C06,0.12,0.2,0.29,0.26,0.13,4.341,60.76,,263.75916
C07,0.07,0.22,0.29,0.29,0.13,4.014,81.236,,326.081304
